id,annotation,image_url
3169447279,"{""shapes"":[],""noShapesFound"":true}",https://cf-83774kd99dl.s3.amazonaws.com/exercise/DJI00443_200ft_ANGLED_FORWARD_00023.png
3169452162,"{""shapes"":[],""noShapesFound"":true}",https://cf-83774kd99dl.s3.amazonaws.com/exercise/DJI00443_200ft_ANGLED_FORWARD_00023.png
3169561642,"{""shapes"":[],""noShapesFound"":true}",https://cf-83774kd99dl.s3.amazonaws.com/exercise/DJI00443_200ft_ANGLED_FORWARD_00023.png
3169476406,"{""shapes"":[{""x"":742,""y"":430,""height"":23,""width"":28,""type"":""box"",""id"":1513710249,""active"":false},{""x"":623,""y"":470,""height"":27,""width"":11,""type"":""box"",""id"":1513710253,""active"":false},{""x"":596,""y"":469,""height"":30,""width"":17,""type"":""box"",""id"":1513710257,""active"":true}]}",https://cf-83774kd99dl.s3.amazonaws.com/exercise/2014-08-21_AMTarangire-DSC_0038.JPG
3169488473,"{""shapes"":[{""x"":746,""y"":431,""height"":23,""width"":25,""type"":""box"",""id"":1513710420,""active"":false},{""x"":670,""y"":401,""height"":14,""width"":17,""type"":""box"",""id"":1513710442,""active"":false},{""x"":637,""y"":399,""height"":19,""width"":26,""type"":""box"",""id"":1513710454,""active"":false},{""x"":624,""y"":471,""height"":19,""width"":10,""type"":""box"",""id"":1513710469,""active"":false},{""x"":601,""y"":477,""height"":21,""width"":12,""type"":""box"",""id"":1513710481,""active"":true}]}",https://cf-83774kd99dl.s3.amazonaws.com/exercise/2014-08-21_AMTarangire-DSC_0038.JPG
3169567696,"{""shapes"":[{""x"":623,""y"":471,""height"":22,""width"":12,""type"":""box"",""id"":1513712198,""active"":false},{""x"":600,""y"":476,""height"":24,""width"":13,""type"":""box"",""id"":1513712201,""active"":false},{""x"":637,""y"":400,""height"":19,""width"":26,""type"":""box"",""id"":1513712205,""active"":false},{""x"":668,""y"":401,""height"":13,""width"":19,""type"":""box"",""id"":1513712209,""active"":false},{""x"":744,""y"":431,""height"":21,""width"":26,""type"":""box"",""id"":1513712213,""active"":true}]}",https://cf-83774kd99dl.s3.amazonaws.com/exercise/2014-08-21_AMTarangire-DSC_0038.JPG
3169375149,"{""shapes"":[],""noShapesFound"":true}",https://cf-83774kd99dl.s3.amazonaws.com/exercise/Clip1HTK112_00001.png
3169458944,"{""shapes"":[],""noShapesFound"":true}",https://cf-83774kd99dl.s3.amazonaws.com/exercise/Clip1HTK112_00001.png
3169673588,"{""shapes"":[],""noShapesFound"":true}",https://cf-83774kd99dl.s3.amazonaws.com/exercise/Clip1HTK112_00001.png
3169476208,"{""shapes"":[],""noShapesFound"":true}",https://cf-83774kd99dl.s3.amazonaws.com/exercise/Clip1HTK112_00024.png
3169487530,"{""shapes"":[],""noShapesFound"":true}",https://cf-83774kd99dl.s3.amazonaws.com/exercise/Clip1HTK112_00024.png
3169698133,"{""shapes"":[],""noShapesFound"":true}",https://cf-83774kd99dl.s3.amazonaws.com/exercise/Clip1HTK112_00024.png
3169476211,"{""shapes"":[{""x"":676,""y"":501,""height"":27,""width"":21,""type"":""box"",""id"":1513663407,""active"":false},{""x"":645,""y"":498,""height"":41,""width"":32,""type"":""box"",""id"":1513663410,""active"":true}]}",https://cf-83774kd99dl.s3.amazonaws.com/exercise/2014-08-22_PMTarangire-DSC_0003.JPG
3169487522,"{""shapes"":[{""x"":646,""y"":500,""height"":36,""width"":33,""type"":""box"",""id"":1513710535,""active"":false},{""x"":665,""y"":505,""height"":27,""width"":34,""type"":""box"",""id"":1513710555,""active"":false}]}",https://cf-83774kd99dl.s3.amazonaws.com/exercise/2014-08-22_PMTarangire-DSC_0003.JPG
3169698125,"{""shapes"":[],""noShapesFound"":true}",https://cf-83774kd99dl.s3.amazonaws.com/exercise/2014-08-22_PMTarangire-DSC_0003.JPG
